date,views
2011-07-10,3265
2011-07-11,3290
2011-07-12,3605
2011-07-13,3564
2011-07-14,3295
2011-07-15,3280
2011-07-16,3105
2011-07-17,3291
2011-07-18,3550
2011-07-19,3517
2011-07-20,3544
2011-07-21,3557
2011-07-22,3642
2011-07-23,3429
2011-07-24,3532
2011-07-25,3840
2011-07-26,4137
2011-07-27,4176
2011-07-28,3504
2011-07-29,3219
2011-07-30,3264
2011-07-31,2986
2011-08-01,3498
2011-08-02,3422
2011-08-03,3158
2011-08-04,3164
2011-08-05,3140
2011-08-06,3008
2011-08-07,2904
2011-08-08,3250
2011-08-09,3289
2011-08-10,3337
2011-08-11,3481
2011-08-12,3534
2011-08-13,3926
2011-08-14,3994
2011-08-15,4380
2011-08-16,4297
2011-08-17,3960
2011-08-18,3712
2011-08-19,3957
2011-08-20,3261
2011-08-21,3975
2011-08-22,4082
2011-08-23,4246
2011-08-24,4248
2011-08-25,4186
2011-08-26,4503
2011-08-27,4579
2011-08-28,4530
2011-08-29,4383
2011-08-30,4943
2011-08-31,8284
2011-09-01,7475
2011-09-02,6750
2011-09-03,6336
2011-09-04,7130
2011-09-05,6915
2011-09-06,6903
2011-09-07,6821
2011-09-08,7096
2011-09-09,6355
2011-09-10,6564
2011-09-11,6392
2011-09-12,5751
2011-09-13,5858
2011-09-14,6417
2011-09-15,7066
2011-09-16,7436
2011-09-17,8053
2011-09-18,7957
2011-09-19,7380
2011-09-20,7497
2011-09-21,7330
2011-09-22,7140
2011-09-23,7484
2011-09-24,8172
2011-09-25,8184
2011-09-26,6928
2011-09-27,7190
2011-09-28,7575
2011-09-29,8158
2011-09-30,8236
2011-10-01,9238
2011-10-02,10101
2011-10-03,9442
2011-10-04,10675
2011-10-05,17090
2011-10-06,15059
2011-10-07,14466
2011-10-08,14569
2011-10-09,14376
2011-10-10,14570
2011-10-11,13715
2011-10-12,12624
2011-10-13,12159
2011-10-14,13076
2011-10-15,14374
2011-10-16,15558
2011-10-17,15387
2011-10-18,16311
2011-10-19,19842
2011-10-20,20579
2011-10-21,19838
2011-10-22,20618
2011-10-23,22244
2011-10-24,22519
2011-10-25,22169
2011-10-26,21741
2011-10-27,21996
2011-10-28,23821
2011-10-29,28215
2011-10-30,29599
2011-10-31,29562
2011-11-01,39605
2011-11-02,40868
2011-11-03,43989
2011-11-04,42645
2011-11-05,46698
2011-11-06,48394
2011-11-07,45268
2011-11-08,45679
2011-11-09,55011
2011-11-10,51717
2011-11-11,50710
2011-11-12,53956
2011-11-13,61783
2011-11-14,58254
2011-11-15,62841
2011-11-16,68124
2011-11-17,71387
2011-11-18,72981
2011-11-19,83519
2011-11-20,92095
2011-11-21,87266
2011-11-22,90915
2011-11-23,105220
2011-11-24,113123
2011-11-25,117273
2011-11-26,135588
2011-11-27,155284
2011-11-28,135736
2011-11-29,149155
2011-11-30,194571
2011-12-01,295643
2011-12-02,265641
2011-12-03,283299
2011-12-04,275843
2011-12-05,237094
2011-12-06,255298
2011-12-07,247902
2011-12-08,261916
